1st order (&b / °),,,5th order (&b / °),,,1st order (Lattice Plane),,,5th order (Lattice Plane),,
&b / °,R_0 / 1/s,Trial,&b / °,R_0 / 1/s,Trial,n&l / pm,R_0 / 1/s,Trial,n&l / pm,R_0 / 1/s,Trial
5.5,181,1,32.5,5.825,1,54.1,218.7,2,303,5.825,1
5.6,191,1,32.6,5.69,1,55,189.2,2,303.9,5.69,1
5.7,146,1,32.7,5.61,1,56,167.3,2,304.7,5.61,1
5.8,139,1,32.8,5.268,1,57,148.1,2,305.5,5.268,1
5.9,116,1,32.9,5.18,1,58,141.5,2,306.4,5.18,1
6,106,1,33,5.152,1,59,120.4,2,307.2,5.152,1
6.1,113,1,33.1,5.013,1,59.9,114.8,2,308,5.013,1
6.2,115,1,33.2,4.918,1,60.9,101.3,2,308.8,4.918,1
6.3,119,1,33.3,4.96,1,61.9,124.3,2,309.6,4.96,1
6.4,143,1,33.4,4.902,1,62.9,165,2,310.5,4.902,1
6.5,219,1,33.5,5.138,1,63.8,217,2,311.3,5.138,1
6.6,195,1,33.6,4.7,1,64.8,188.3,2,312.1,4.7,1
6.7,122,1,33.7,4.612,1,65.8,112.6,2,312.9,4.612,1
6.8,81,1,33.8,4.705,1,66.8,82.7,2,313.8,4.705,1
6.9,83,1,33.9,4.69,1,67.8,93.8,2,314.6,4.69,1
7,131,1,34,4.515,1,68.7,151.8,2,315.4,4.515,1
7.1,388,1,34.1,4.9,1,69.7,487.8,2,316.2,4.9,1
7.2,1202,1,34.2,4.923,1,70.7,1293.6,2,317,4.923,1
7.3,1958,1,34.3,4.732,1,71.7,2159.4,2,317.8,4.732,1
7.4,1896,1,34.4,4.6,1,72.6,1903.1,2,318.6,4.6,1
7.5,864,1,34.5,4.367,1,73.6,726.2,2,319.5,4.367,1
7.6,281,1,34.6,4.47,1,74.6,306.1,2,320.3,4.47,1
7.7,277,1,34.7,4.478,1,75.6,285.4,2,321.1,4.478,1
7.8,234,1,34.8,4.272,1,76.5,262.9,2,321.9,4.272,1
7.9,263,1,34.9,4.327,1,77.5,261.2,2,322.7,4.327,1
8,255,1,35,4.225,1,78.5,250.8,2,323.5,4.225,1
5.5,218.7,2,35.1,4.128,1,,,,324.3,4.128,1
5.6,189.2,2,35.2,4.065,1,,,,325.1,4.065,1
5.7,167.3,2,35.3,4.125,1,,,,325.9,4.125,1
5.8,148.1,2,35.4,4.135,1,,,,326.7,4.135,1
5.9,141.5,2,35.5,4.197,1,,,,327.5,4.197,1
6,120.4,2,35.6,4.255,1,,,,328.3,4.255,1
6.1,114.8,2,35.7,4.008,1,,,,329.1,4.008,1
6.2,101.3,2,35.8,4.147,1,,,,329.9,4.147,1
6.3,124.3,2,35.9,4.09,1,,,,330.7,4.09,1
6.4,165,2,36,3.98,1,,,,331.5,3.98,1
6.5,217,2,36.1,4.1,1,,,,332.3,4.1,1
6.6,188.3,2,36.2,4.053,1,,,,333.1,4.053,1
6.7,112.6,2,36.3,4.01,1,,,,333.9,4.01,1
6.8,82.7,2,36.4,3.797,1,,,,334.7,3.797,1
6.9,93.8,2,36.5,3.91,1,,,,335.5,3.91,1
7,151.8,2,36.6,4.112,1,,,,336.3,4.112,1
7.1,487.8,2,36.7,3.803,1,,,,337.1,3.803,1
7.2,1293.6,2,36.8,3.83,1,,,,337.8,3.83,1
7.3,2159.4,2,36.9,3.917,1,,,,338.6,3.917,1
7.4,1903.1,2,37,3.845,1,,,,339.4,3.845,1
7.5,726.2,2,37.1,3.825,1,,,,340.2,3.825,1
7.6,306.1,2,37.2,3.785,1,,,,341,3.785,1
7.7,285.4,2,37.3,3.855,1,,,,341.8,3.855,1
7.8,262.9,2,37.4,3.893,1,,,,342.6,3.893,1
7.9,261.2,2,37.5,3.85,1,,,,343.3,3.85,1
8,250.8,2,37.6,3.685,1,,,,344.1,3.685,1
,,,37.7,4.035,1,,,,344.9,4.035,1
,,,37.8,3.987,1,,,,345.7,3.987,1
,,,37.9,3.873,1,,,,346.5,3.873,1
,,,38,4.07,1,,,,347.2,4.07,1
,,,38.1,4.005,1,,,,348,4.005,1
,,,38.2,3.98,1,,,,348.8,3.98,1
,,,38.3,4.053,1,,,,349.6,4.053,1
,,,38.4,4.07,1,,,,350.3,4.07,1
,,,38.5,4.235,1,,,,351.1,4.235,1
,,,38.6,4.29,1,,,,351.9,4.29,1
,,,38.7,4.18,1,,,,352.6,4.18,1
,,,38.8,4.753,1,,,,353.4,4.753,1
,,,38.9,5.8,1,,,,354.2,5.8,1
,,,39,8.063,1,,,,354.9,8.063,1
,,,39.1,9.09,1,,,,355.7,9.09,1
,,,39.2,7.12,1,,,,356.5,7.12,1
,,,39.3,6.755,1,,,,357.2,6.755,1
,,,39.4,6.3,1,,,,358,6.3,1
,,,39.5,4.91,1,,,,358.7,4.91,1
,,,39.6,4.12,1,,,,359.5,4.12,1
,,,39.7,4.11,1,,,,360.3,4.11,1
,,,39.8,3.89,1,,,,361,3.89,1
,,,39.9,3.967,1,,,,361.8,3.967,1
,,,40,3.79,1,,,,362.5,3.79,1
,,,40.1,3.703,1,,,,363.3,3.703,1
,,,40.2,3.8,1,,,,364,3.8,1
,,,40.3,3.56,1,,,,364.8,3.56,1
,,,40.4,3.607,1,,,,365.5,3.607,1
,,,40.5,3.728,1,,,,366.3,3.728,1
,,,32.5,5.755,2,,,,303,5.755,2
,,,32.6,5.245,2,,,,303.9,5.245,2
,,,32.7,5.378,2,,,,304.7,5.378,2
,,,32.8,5.202,2,,,,305.5,5.202,2
,,,32.9,5.195,2,,,,306.4,5.195,2
,,,33,5.008,2,,,,307.2,5.008,2
,,,33.1,4.928,2,,,,308,4.928,2
,,,33.2,4.67,2,,,,308.8,4.67,2
,,,33.3,4.805,2,,,,309.6,4.805,2
,,,33.4,4.815,2,,,,310.5,4.815,2
,,,33.5,4.745,2,,,,311.3,4.745,2
,,,33.6,4.718,2,,,,312.1,4.718,2
,,,33.7,4.678,2,,,,312.9,4.678,2
,,,33.8,4.643,2,,,,313.8,4.643,2
,,,33.9,4.683,2,,,,314.6,4.683,2
,,,34,4.688,2,,,,315.4,4.688,2
,,,34.1,4.735,2,,,,316.2,4.735,2
,,,34.2,4.58,2,,,,317,4.58,2
,,,34.3,4.622,2,,,,317.8,4.622,2
,,,34.4,4.44,2,,,,318.6,4.44,2
,,,34.5,4.397,2,,,,319.5,4.397,2
,,,34.6,4.44,2,,,,320.3,4.44,2
,,,34.7,4.345,2,,,,321.1,4.345,2
,,,34.8,4.28,2,,,,321.9,4.28,2
,,,34.9,4.277,2,,,,322.7,4.277,2
,,,35,4.162,2,,,,323.5,4.162,2
,,,35.1,4.298,2,,,,324.3,4.298,2
,,,35.2,4.245,2,,,,325.1,4.245,2
,,,35.3,4.32,2,,,,325.9,4.32,2
,,,35.4,4.24,2,,,,326.7,4.24,2
,,,35.5,4.147,2,,,,327.5,4.147,2
,,,35.6,4.175,2,,,,328.3,4.175,2
,,,35.7,4.162,2,,,,329.1,4.162,2
,,,35.8,4.1,2,,,,329.9,4.1,2
,,,35.9,4.053,2,,,,330.7,4.053,2
,,,36,3.913,2,,,,331.5,3.913,2
,,,36.1,3.933,2,,,,332.3,3.933,2
,,,36.2,3.995,2,,,,333.1,3.995,2
,,,36.3,3.705,2,,,,333.9,3.705,2
,,,36.4,3.77,2,,,,334.7,3.77,2
,,,36.5,3.953,2,,,,335.5,3.953,2
,,,36.6,3.862,2,,,,336.3,3.862,2
,,,36.7,3.815,2,,,,337.1,3.815,2
,,,36.8,3.947,2,,,,337.8,3.947,2
,,,36.9,3.752,2,,,,338.6,3.752,2
,,,37,3.868,2,,,,339.4,3.868,2
,,,37.1,3.697,2,,,,340.2,3.697,2
,,,37.2,3.833,2,,,,341,3.833,2
,,,37.3,3.813,2,,,,341.8,3.813,2
,,,37.4,3.797,2,,,,342.6,3.797,2
,,,37.5,3.737,2,,,,343.3,3.737,2
,,,37.6,4.04,2,,,,344.1,4.04,2
,,,37.7,3.667,2,,,,344.9,3.667,2
,,,37.8,3.763,2,,,,345.7,3.763,2
,,,37.9,3.888,2,,,,346.5,3.888,2
,,,38,3.947,2,,,,347.2,3.947,2
,,,38.1,3.882,2,,,,348,3.882,2
,,,38.2,3.89,2,,,,348.8,3.89,2
,,,38.3,4.178,2,,,,349.6,4.178,2
,,,38.4,4.04,2,,,,350.3,4.04,2
,,,38.5,4.178,2,,,,351.1,4.178,2
,,,38.6,4.17,2,,,,351.9,4.17,2
,,,38.7,4.527,2,,,,352.6,4.527,2
,,,38.8,4.822,2,,,,353.4,4.822,2
,,,38.9,5.845,2,,,,354.2,5.845,2
,,,39,7.838,2,,,,354.9,7.838,2
,,,39.1,8.727,2,,,,355.7,8.727,2
,,,39.2,7.168,2,,,,356.5,7.168,2
,,,39.3,6.435,2,,,,357.2,6.435,2
,,,39.4,6.1,2,,,,358,6.1,2
,,,39.5,4.92,2,,,,358.7,4.92,2
,,,39.6,4.077,2,,,,359.5,4.077,2
,,,39.7,4.05,2,,,,360.3,4.05,2
,,,39.8,3.763,2,,,,361,3.763,2
,,,39.9,3.938,2,,,,361.8,3.938,2
,,,40,3.91,2,,,,362.5,3.91,2
,,,40.1,3.857,2,,,,363.3,3.857,2
,,,40.2,3.715,2,,,,364,3.715,2
,,,40.3,3.89,2,,,,364.8,3.89,2
,,,40.4,3.63,2,,,,365.5,3.63,2
,,,40.5,3.595,2,,,,366.3,3.595,2
,,,32.5,5.893,3,,,,32.5,5.893,3
,,,32.6,5.412,3,,,,32.6,5.412,3
,,,32.7,5.37,3,,,,32.7,5.37,3
,,,32.8,5.378,3,,,,32.8,5.378,3
,,,32.9,5.147,3,,,,32.9,5.147,3
,,,33,4.83,3,,,,33,4.83,3
,,,33.1,4.987,3,,,,33.1,4.987,3
,,,33.2,4.997,3,,,,33.2,4.997,3
,,,33.3,4.715,3,,,,33.3,4.715,3
,,,33.4,4.955,3,,,,33.4,4.955,3
,,,33.5,4.867,3,,,,33.5,4.867,3
,,,33.6,4.907,3,,,,33.6,4.907,3
,,,33.7,4.83,3,,,,33.7,4.83,3
,,,33.8,4.715,3,,,,33.8,4.715,3
,,,33.9,4.683,3,,,,33.9,4.683,3
,,,34,4.645,3,,,,34,4.645,3
,,,34.1,4.915,3,,,,34.1,4.915,3
,,,34.2,4.735,3,,,,34.2,4.735,3
,,,34.3,4.567,3,,,,34.3,4.567,3
,,,34.4,4.54,3,,,,34.4,4.54,3
,,,34.5,4.537,3,,,,34.5,4.537,3
,,,34.6,4.525,3,,,,34.6,4.525,3
,,,34.7,4.478,3,,,,34.7,4.478,3
,,,34.8,4.447,3,,,,34.8,4.447,3
,,,34.9,4.54,3,,,,34.9,4.54,3
,,,35,4.31,3,,,,35,4.31,3
,,,35.1,4.253,3,,,,35.1,4.253,3
,,,35.2,4.242,3,,,,35.2,4.242,3
,,,35.3,4.168,3,,,,35.3,4.168,3
,,,35.4,3.993,3,,,,35.4,3.993,3
,,,35.5,4.263,3,,,,35.5,4.263,3
,,,35.6,4.445,3,,,,35.6,4.445,3
,,,35.7,4.242,3,,,,35.7,4.242,3
,,,35.8,4.125,3,,,,35.8,4.125,3
,,,35.9,4.3,3,,,,35.9,4.3,3
,,,36,4.29,3,,,,36,4.29,3
,,,36.1,3.973,3,,,,36.1,3.973,3
,,,36.2,4.133,3,,,,36.2,4.133,3
,,,36.3,4.003,3,,,,36.3,4.003,3
,,,36.4,3.96,3,,,,36.4,3.96,3
,,,36.5,3.848,3,,,,36.5,3.848,3
,,,36.6,3.68,3,,,,36.6,3.68,3
,,,36.7,3.89,3,,,,36.7,3.89,3
,,,36.8,3.868,3,,,,36.8,3.868,3
,,,36.9,3.987,3,,,,36.9,3.987,3
,,,37,4.037,3,,,,37,4.037,3
,,,37.1,3.955,3,,,,37.1,3.955,3
,,,37.2,3.743,3,,,,37.2,3.743,3
,,,37.3,3.967,3,,,,37.3,3.967,3
,,,37.4,3.868,3,,,,37.4,3.868,3
,,,37.5,3.853,3,,,,37.5,3.853,3
,,,37.6,3.967,3,,,,37.6,3.967,3
,,,37.7,3.752,3,,,,37.7,3.752,3
,,,37.8,4.183,3,,,,37.8,4.183,3
,,,37.9,4.192,3,,,,37.9,4.192,3
,,,38,4.043,3,,,,38,4.043,3
,,,38.1,4.013,3,,,,38.1,4.013,3
,,,38.2,4.16,3,,,,38.2,4.16,3
,,,38.3,4.077,3,,,,38.3,4.077,3
,,,38.4,4.037,3,,,,38.4,4.037,3
,,,38.5,4.345,3,,,,38.5,4.345,3
,,,38.6,4.457,3,,,,38.6,4.457,3
,,,38.7,4.588,3,,,,38.7,4.588,3
,,,38.8,4.598,3,,,,38.8,4.598,3
,,,38.9,5.935,3,,,,38.9,5.935,3
,,,39,8.05,3,,,,39,8.05,3
,,,39.1,8.985,3,,,,39.1,8.985,3
,,,39.2,7.225,3,,,,39.2,7.225,3
,,,39.3,6.638,3,,,,39.3,6.638,3
,,,39.4,6.065,3,,,,39.4,6.065,3
,,,39.5,5.025,3,,,,39.5,5.025,3
,,,39.6,4.088,3,,,,39.6,4.088,3
,,,39.7,4.082,3,,,,39.7,4.082,3
,,,39.8,4.2,3,,,,39.8,4.2,3
,,,39.9,3.71,3,,,,39.9,3.71,3
,,,40,4.032,3,,,,40,4.032,3
,,,40.1,3.75,3,,,,40.1,3.75,3
,,,40.2,3.905,3,,,,40.2,3.905,3
,,,40.3,3.743,3,,,,40.3,3.743,3
,,,40.4,3.735,3,,,,40.4,3.735,3
,,,40.5,3.737,3,,,,40.5,3.737,3
